,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,trojan
0,0.2736801,0.0,0.27969283,0.143194718,0.210321158,0.300763223,0.163571824,0.085372321,0.16629392,0.005286881,0.349456622,0.021526606,0.133357235,0.254356147,0.0,0.25443402,0
1,0.030380053,0.0,0.245279382,0.143360065,0.191445522,0.33823064,0.114543206,0.074281055,0.032640574,0.011848,0.385277444,0.019818999,0.13828751,0.243968491,0.125800806,0.253555835,0
2,0.241065993,0.0,0.291812758,0.13095421,0.174190843,0.331401812,0.134240147,0.092483326,0.16629392,0.010141277,0.37610373,0.027290578,0.13828751,0.236731488,0.106790593,0.25443402,0
3,0.2736801,0.0,0.259756395,0.146854246,0.172407755,0.309860907,0.155191795,0.065701246,0.157361347,0.008248753,0.398309774,0.026757631,0.13828751,0.256057802,0.102292063,0.233492198,0
4,0.2736801,0.0,0.271214826,0.128287571,0.186505836,0.318188161,0.144918792,0.086860957,0.165045214,0.006433146,0.337220128,0.029555477,0.13828751,0.269242581,0.104305572,0.25443402,0
5,0.2736801,0.0,0.300639529,0.124133901,0.181402642,0.34825717,0.146321071,0.073152012,0.16629392,0.007785831,0.314492344,0.027950518,0.13828751,0.279761698,0.103585337,0.25443402,0
6,0.2736801,0.0,0.268201668,0.113882121,0.197627367,0.31825479,0.136700416,0.097877706,0.023655087,0.00506196,0.321889198,0.023928434,0.13828751,0.241262646,0.105942773,0.25443402,0
7,0.013869699,0.003831811,0.025843719,0.019698549,0.005758548,0.050865796,0.055680615,0.0,0.022562502,0.059242121,0.09824456,0.011603968,0.00947837,0.065490904,0.002078976,0.048703424,0
8,0.003645696,0.008578076,0.045100435,0.043206194,0.007502963,0.009780884,0.042288906,0.42061022,0.028020266,0.020537951,0.081734216,0.020249969,0.007979693,0.4972568,0.0,0.019114229,0
9,0.015310492,0.001497772,0.009393472,0.018467571,0.014724347,0.00519128,0.095239414,0.004939325,0.02181349,0.029292399,0.025188554,0.002053507,0.003787415,0.089142156,0.0,0.0,1
