,Block,Pout,COND,2Ncond,P,Pe,Pmost,RP ,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,trojan
0,4.71,1.0,178.3071,1.0,0.00195,3.04e+17,0.49267,3.23e+17,0.0,1.0,1.0,131.0,2.0,3.0,4.0,3.0,0.494823353,2.004355477,0.0
1,2.06,1.0,98.2269,25.0,0.00195,2.73e+17,0.48854,1.18e+17,0.0,0.0,1.0,1.0,4.0,2.0,1.0,3.8150470219435735,0.151226022,1.869532366,0.0
2,1.93,0.55532,-1.4482,5.0,1.12e+17,8.26e+17,0.48875,3.56e+17,0.0,1.0,0.998109457,134.0,1.0,4.0,1.0,4.0,0.477115966,2.054489579,0.0
3,3.11,1.0,89.9236,17.0,0.00195,7.44e+16,0.91831,2.27e+17,0.0,1.0,0.998364092,3.0,2.0,3.0,4.0,2.0,0.020933737,1.859098903,0.0
4,0.55,1.0,11.2949,1777.0,0.00195,8.29e+16,0.49387,0.00391,0.0,2.0,1.0,32.0,3.0,4.0,1.0,4.0,0.487994005,1.714964452,0.0
5,3.02,1.0,6.5495,1.0,3.37e+17,3.44e+17,0.49251,3.27e+17,0.0,2.0,1.0,2.0,116.0,2.0,1.0,4.0,0.492831945,0.847725266,0.0
6,0.79,1.0,24.9001,1.0,0.00195,3.73e+17,0.49751,9.49e+16,0.0,3.0,1.0,3.0,29.0,4.0,1.0,4.0,0.087933646,1.808559302,0.0
7,3.63,0.29322,44.7332,11.0,2.69e+17,3.29e+16,0.50012,6.07e+16,0.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,0.992427199,2.085518132,0.0
8,0.45,0.3159,55.4712,8.0,1347470000000000.0,5.96e+17,0.49127,1.79e+17,0.0,1.0,0.997978442,133.0,1.0,124.0,1.0,4.0,0.477678807,2.019467619,0.0
9,5.27,1.0,57.0399,1.0,0.00195,5.39e+17,0.50459,0.00391,0.0,2.0,1.0,1.0,4.0,1.0,1.0,12.0,0.252185496,2.764976088,1.0
